"","ResponseId","email_timing","email","Q1","Q2","Q3","Q5","Q6","Q7","Q9","Q10","Q11","Q13","Q14","Q15","Q16","Q18","Q19","Q20"
"56","R_1oiIzJZdlo9NZz9",1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1
"57","R_1opTCOOpsI4AcCd",0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1
"58","R_1pFgdgYZIi2ZgsG",1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0
"59","R_1q51qa7eIaKQOz5",0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1
"60","R_1qXvBDI2FHJLC7o",0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
"61","R_1qgkzp5XCzNYeuR",1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1
"62","R_1r1jm16boPWgWJw",0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0
"63","R_1r36USBz847yWQB",1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1
"64","R_1r6cCPsp91fLiYl",1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0
"65","R_1rePEBCPJfLUcfr",1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0
"66","R_1rpOYotxCL2eEuM",1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0
"67","R_20UkzB92r9Shkui",1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0
"68","R_21aBiltLc8RJV2A",0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0
"69","R_21cXF9xgYdSYjkh",1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
"70","R_21udBl9leEgYvB8",0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0
"71","R_23VJViDnP3ihbSb",0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1
"72","R_23uNXL1lEuiK2IN",0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0
"73","R_25BICYEJFusrT9Q",0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1
"74","R_25Z2PQxXTE7mFyB",0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0
"75","R_26g0N63QF12dimd",0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0
"76","R_26gRiNQC05sPkyy",1,0,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1
"77","R_26rhaTxhqgTGvjr",0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0
"78","R_27PD6QcIIuhoklU",1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0
"79","R_27cUDN8wG5LlvKs",1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0
"80","R_27ppdh7OOsxFEfR",1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0
"81","R_27rFtLibSiFEIVR",1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1
"82","R_27yzixhu1m96yUt",0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1
"83","R_28TeFpJUUycMYcZ",1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,1
"84","R_29hn0zvsbgM4g64",0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1
"85","R_2A0xUgKDbrnwr1r",0,0,0,NA,0,0,1,0,0,0,0,1,1,0,1,1,1,0
"86","R_2ByucnPpjfx6x8E",1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0
"87","R_2Cmrh1Njuk9TKK2",0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0
"88","R_2EgAiQnt6PBcXmJ",1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
