"","ResponseId","variable","value"
"117","R_qwvkXru4VyxMpCF","email_timing",0
"118","R_2EiVbozpWaQF6TS","email_timing",1
"119","R_23uNXL1lEuiK2IN","email_timing",0
"120","R_yvZyF9pWs7UPzjz","email_timing",1
"121","R_2TUaPjFshRv47Ui","email_timing",1
"122","R_2QhdcqlCf7KqdFR","email_timing",1
"123","R_3MsNjm1CLc8laF0","email_timing",1
"124","R_T2h0RVB5sxDFWsp","email_timing",0
"125","R_3iVvIsisZSGYhIz","email_timing",0
"126","R_djqlb78tkCyuPPX","email_timing",0
"127","R_1r6cCPsp91fLiYl","email_timing",1
"128","R_pLcVPPE5yXMsTQt","email_timing",0
"129","R_2EgAiQnt6PBcXmJ","email_timing",1
"130","R_2aA1itN9JcQO9Tj","email_timing",0
"131","R_2qDgbsOTMVr6FmZ","email_timing",1
"132","R_1rpOYotxCL2eEuM","email_timing",1
"133","R_3FXz56E0LAJcLJT","email_timing",0
"134","R_3PB68V4Xa59fSDh","email_timing",1
"135","R_eLGGXP9DFZ9jPPj","email_timing",0
"136","R_1hZiHX8a51KTXgi","email_timing",1
"137","R_3lPxl0yHrv7prVf","email_timing",1
"138","R_3kmMsRjMzB99jMc","email_timing",1
"139","R_3qJXNwqWbvNYLCl","email_timing",0
"140","R_5cYBBdkGBpSZhHb","email_timing",0
"141","R_21aBiltLc8RJV2A","email_timing",0
"142","R_25BICYEJFusrT9Q","email_timing",0
"143","R_PIKvX9sP7q71oY1","email_timing",0
"144","R_ZmAuvZPlDPp9j7H","email_timing",1
"145","R_3fMG9MCYkLbaEg5","email_timing",0
"146","R_yEGQFC8j3jtPhNn","email_timing",1
"147","R_2wh2IyOZ4reLVhV","email_timing",0
"148","R_1rePEBCPJfLUcfr","email_timing",1
"149","R_aUULXHSBsE23KW5","email_timing",1
"150","R_0v97gnB46xEb52V","email_timing",0
"151","R_29hn0zvsbgM4g64","email_timing",0
"152","R_3Oi8DOTeBaMqdPS","email_timing",1
"153","R_2aKS5eBvnO4Ugxl","email_timing",1
"154","R_1r1jm16boPWgWJw","email_timing",0
"155","R_3rNCm8PdpcAJjJT","email_timing",0
"156","R_3e2MekjCpI3vUkr","email_timing",1
"157","R_3szAKE07VpanNAX","email_timing",0
"158","R_2wmZtzWju75IKdn","email_timing",1
"159","R_20UkzB92r9Shkui","email_timing",1
"160","R_3qkhbo6AOM9D5pr","email_timing",1
"161","R_9nIoVPwaYK75cvn","email_timing",1
"162","R_2WM6PqRcNcaDt85","email_timing",1
"163","R_1o72sAbrsAOwZlB","email_timing",0
"164","R_3MJWp7ksEq6kZJ6","email_timing",0
"165","R_DxgQt7YAm311VCh","email_timing",1
"166","R_CfwWridUHT6Gelj","email_timing",0
"167","R_uxjh7k2pYqApS37","email_timing",1
"168","R_1OVTDt73rUhORrg","email_timing",0
